,07.02.2025 21:16:25,08.02.2025 03:23:02,09.02.2025 03:25:25,10.02.2025 03:26:52,11.02.2025 03:25:36,12.02.2025 03:25:04,13.02.2025 03:25:19,14.02.2025 03:25:29,15.02.2025 03:25:57,16.02.2025 03:27:43,17.02.2025 03:28:07,18.02.2025 03:24:44,19.02.2025 03:28:36,19.02.2025 22:12:27,20.02.2025 03:26:29
03.05 - 10.05,5243,5243,5243,5243,5206,5306,5306,5306,5365,5365,5365,5365,5424,5424,5424
10.05 - 17.05,5085,5085,5085,5085,5085,5085,5085,5085,5144,5144,5144,5144,5144,5144,5144
17.05 - 24.05,5268,5268,5326,5326,5326,5544,5544,5544,5569,5569,5569,5569,5569,5569,5569
24.05 - 31.05,4985,4985,4985,4985,5044,5194,5194,5194,5253,5253,5253,5253,5311,5311,5311
31.05 - 07.06,4987,4987,4987,4987,5046,5196,5196,5196,5196,5196,5196,5196,5196,5196,5196
07.06 - 14.06,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082
14.06 - 21.06,5933,5933,5933,5933,6073,5932,5932,5932,5932,5932,5932,5932,5932,,
21.06 - 28.06,5120,5120,5120,5120,5120,5179,5179,5179,5237,5237,5237,5237,5237,5237,5237
28.06 - 05.07,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564
05.07 - 12.07,5498,5498,5498,5498,5452,5452,5452,5498,5498,5498,5498,5732,5732,5791,5791
12.07 - 19.07,5247,5247,5247,5247,5247,5247,5247,5247,5247,5247,5247,5197,5197,5197,5197
19.07 - 26.07,5418,5418,5418,5418,5418,5418,5418,5418,5418,5418,5418,5893,5893,6068,6068
26.07 - 02.08,5535,5535,5535,5535,5535,5535,5535,5535,5535,5535,5535,5485,5485,5485,5485
02.08 - 09.08,5631,5631,5631,5631,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710
09.08 - 16.08,5861,5861,5918,5918,5929,5929,5929,5929,5929,5929,5929,5829,5829,5829,5829
16.08 - 23.08,4930,4930,4930,4930,4989,4989,4989,4989,4989,4989,4989,5039,5039,5039,5039
23.08 - 30.08,4937,4937,4937,4937,4996,4996,4996,4996,4996,5054,5054,5171,5171,5547,5547
30.08 - 06.09,4833,4833,4833,4833,4892,4892,4892,4892,4892,4892,4892,5242,5242,5242,5242
06.09 - 13.09,5087,5087,5087,5087,5087,5087,5087,5087,5146,5205,5205,5497,5497,5497,5497
13.09 - 20.09,5305,5305,5305,5305,5387,5387,5387,5387,5387,5387,5387,5387,5387,5387,5387
20.09 - 27.09,5361,5361,5361,5361,5445,5562,5621,5621,5621,5621,5621,5571,5571,5571,5571
27.09 - 04.10,5190,5190,5190,5190,5271,5389,5389,5389,5389,5389,5389,5389,5389,,
